Number,Type,Name,Registration Point,Filename
1,bitmap,Tile.1,"(16, 16)",
2,bitmap,Tile.2,"(16, 16)",
3,bitmap,Tile.3,"(16, 16)",
4,bitmap,Tile.4,"(16, 16)",
5,bitmap,Tile.5,"(16, 15)",
6,bitmap,Tile.6,"(16, 16)",
7,bitmap,Tile.7,"(16, 16)",
8,shape,Tile.1.x,"(0, 0)",
9,shape,Tile.2.x,"(0, 0)",
10,shape,Tile.3.x,"(0, 0)",
11,shape,Tile.4.x,"(0, 0)",
12,shape,Tile.5.x,"(0, 0)",
13,shape,Tile.6.x,"(0, 0)",
14,shape,Tile.7.x,"(0, 0)",
15,bitmap,Tile.1,"(16, 16)",
16,bitmap,Tile.2,"(16, 16)",
17,shape,,"(0, 0)",
18,shape,,"(0, 0)",
19,shape,,"(0, 0)",
20,shape,,"(0, 0)",
